feature,bottle_mean,can_mean,abs_diff,effect_size,single_feature_auc,mutual_info,f_score,p_value
spectral_centroid,1231.4481108725447,2075.706244959315,844.2581340867703,2.694505399901392,0.9748249999999999,0.49144511981678085,1452.0718700195007,8.287104547928912e-182
band_0_500,0.6451635165154859,0.1672126380799802,0.47795087843550565,2.5361324325186065,0.9484,0.4131545835159207,1286.3935430545494,1.5188506929013456e-168
band_1000_2000,0.07402557594008892,0.40032612945814977,0.32630055351806087,2.241024737197748,0.96355625,0.4520189220520765,1004.4383745464429,2.444471208153104e-143
spectral_rolloff_85,783.7109375,1916.40625,1132.6953125,2.1371960688610563,0.970109375,0.507419522680024,913.5214073510305,2.324144803730991e-134
spectral_flatness,0.24604762354352394,0.39352468469310653,0.1474770611495826,1.9329695443618629,0.90608125,0.3288491915635805,747.2742518860903,1.2414220498052167e-116
spectral_rolloff_95,1189.66796875,2719.267578125,1529.599609375,1.897122935362472,0.9437156250000001,0.40186748523108196,719.8150863756647,1.603349444695277e-113
peak_freq_1,330.869140625,1048.1640625,717.294921875,1.7036520030898865,0.9053312499999999,0.41239242741286875,580.4860295264365,8.231389302656188e-97
band_250_500,0.43374744856108066,0.1406128381271235,0.29313461043395717,1.5898457653814908,0.88729375,0.31766063669337763,505.52191154029634,4.193499601645131e-87
spectral_bandwidth,1417.2667749423767,1713.9774555990361,296.7106806566594,1.4765896558849836,0.8462125,0.20564690727976953,436.063402373292,1.352728228634759e-77
peak_freq_3,504.1796875,1137.59765625,633.41796875,1.3763713235994606,0.8358875,0.33121556567358,378.87960408538606,2.359680009812521e-69
band_0_250,0.21141606795440523,0.026599799952856672,0.18481626800154857,1.3689386663431524,0.9163749999999999,0.3415729434892685,374.79861444187674,9.470358599083091e-69
peak_freq_2,439.375,1034.140625,594.765625,1.3394332221725826,0.822840625,0.32095499604654254,358.8162713319255,2.2933070573847725e-66
total_energy,168965.97169559958,99687.78599726656,69278.18569833302,1.3290522454671938,0.83559375,0.1842161761367247,353.2759742362822,1.5655752664968525e-65
band_2000_3000,0.010094960384658236,0.10495352907668297,0.09485856869202473,1.2120081143562986,0.93486875,0.3737081304721659,293.7927338531028,2.603777448450484e-56
band_6000_8000,0.0008414246088086988,0.008757305417947994,0.007915880809139296,1.1882830598633252,0.9439187499999999,0.4066096334827751,282.4033260716299,1.7338616356613677e-54
band_4000_6000,0.0022201243613108844,0.017003047398009154,0.01478292303669827,0.9448328936835413,0.8832375,0.3019885435413048,178.5418393972831,6.7590702774494686e-37
band_3000_4000,0.0037963739038561826,0.029057805288607116,0.025261431384750933,0.9419060853506481,0.87296875,0.23439658073429515,177.43741472411648,1.064291638994239e-36
low_high_ratio,1226.22727031814,59.482809731013596,1166.7444605871265,0.7741124095437638,0.95291875,0.4251099311329227,119.85000452193033,4.3910309180675527e-26
low_mid_ratio,34.94487320716768,1.4549334378482768,33.489939769319406,0.6598167246133982,0.9793125,0.5311033119963406,87.07162201591053,1.0099000244831669e-19
high_mid_ratio,0.03904864134336681,0.05340803026273827,0.014359388919371462,0.27268155624273777,0.5371625,0.012583814112398839,14.871046222992415,0.00012438827408516032
band_500_1000,0.2638580242847563,0.2726895452784413,0.008831520993685005,0.050262725277519155,0.5047,0.04153257679479161,0.5052683104647213,0.4774020706792135
